status	path	width	height	changedPixels	totalPixels	diffRatio	maxChannelDelta	comparison
M	tdesign-component/example/test/goldens/slider_page_light.png	375	2842	164377	1065750	0.15423598	255	example/test/goldens/slider_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/steps_page_dark.png	375	3061	2574	1147875	0.00224240	1	example/test/goldens/steps_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/steps_page_light.png	375	3061	2574	1147875	0.00224240	1	example/test/goldens/steps_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_both_end_opened_dark.png	375	812	24659	304500	0.08098194	219	example/test/goldens/swipe_cell_both_end_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_both_end_opened_light.png	375	812	24622	304500	0.08086043	229	example/test/goldens/swipe_cell_both_end_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_both_start_opened_dark.png	375	812	24659	304500	0.08098194	219	example/test/goldens/swipe_cell_both_start_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_both_start_opened_light.png	375	812	24622	304500	0.08086043	229	example/test/goldens/swipe_cell_both_start_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_double_opened_dark.png	375	812	24659	304500	0.08098194	219	example/test/goldens/swipe_cell_end_double_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_double_opened_light.png	375	812	24622	304500	0.08086043	229	example/test/goldens/swipe_cell_end_double_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_large_opened_dark.png	375	812	23938	304500	0.07861412	209	example/test/goldens/swipe_cell_end_large_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_large_opened_light.png	375	812	23912	304500	0.07852874	229	example/test/goldens/swipe_cell_end_large_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_multiple_opened_dark.png	375	812	24659	304500	0.08098194	219	example/test/goldens/swipe_cell_end_multiple_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_multiple_opened_light.png	375	812	24622	304500	0.08086043	229	example/test/goldens/swipe_cell_end_multiple_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_single_opened_dark.png	375	812	24875	304500	0.08169130	229	example/test/goldens/swipe_cell_end_single_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_end_single_opened_light.png	375	812	24854	304500	0.08162233	229	example/test/goldens/swipe_cell_end_single_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_icon_only_opened_dark.png	375	812	24659	304500	0.08098194	219	example/test/goldens/swipe_cell_icon_only_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_icon_only_opened_light.png	375	812	24622	304500	0.08086043	229	example/test/goldens/swipe_cell_icon_only_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_icon_text_opened_dark.png	375	812	24659	304500	0.08098194	219	example/test/goldens/swipe_cell_icon_text_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_icon_text_opened_light.png	375	812	24622	304500	0.08086043	229	example/test/goldens/swipe_cell_icon_text_opened_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_page_dark.png	375	1038	124653	389250	0.32023892	231	example/test/goldens/swipe_cell_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/swipe_cell_page_light.png	375	1038	123933	389250	0.31838921	229	example/test/goldens/swipe_cell_page_light-develop-diff-current.png
